VillageCode,VillageNameEnglish,VillageCode,VillageCensus2011Code,SubdistrictCode,SubDistrictNameEnglish,SubDistrictNameLocal,SubDistrictCensus2011Code,DistrictCode,DistrictNameEnglish,DistrictNameLocal,DistrictCensus2011Code,StateCode,StateNameEnglish,StateNameLocal,stateCensus2011Code,last_updated
48977,Dafa,,048977,297,Tehri,,00297,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,20-06-2025
50527,Loharkhet,,050527,321,Kapkot,,00321,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55951,Loharra,,055951,6030,Rudrapur,Rudrapur,00000,56,"Udham Singh Nagar","UDHAM SINGH NAGAR",067,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48529,Lokmaripur,,048529,313,Kotdwara,,00313,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
40742,Lonthuru,lonthuru,040742,283,Bhatwari,,00283,57,Uttarkashi,"UTTAR KASHI                                       ",056,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41137,"Lostu Panthari",,041137,286,Pokhari,,00286,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52334,Lotana,,052334,328,Ranikhet,,00328,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46772,Luckchouri,,046772,6354,Bironkhal,,00000,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44833,Ludhera,,044833,302,Kalsi,,00302,49,Dehradun,"DEHRADUN                                          ",060,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55850,Ludhpura,,055850,348,Bajpur,,00348,56,"Udham Singh Nagar","UDHAM SINGH NAGAR",067,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48211,Luetha,,048211,312,"Chaubatta Khal",,00312,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
42512,Lugai,,042512,291,Rudraprayag,,00291,54,Rudraprayag,रूद्रप्रयाग,058,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44953,Luhan,,044953,302,Kalsi,,00302,49,Dehradun,"DEHRADUN                                          ",060,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
42725,Lukhundri,,042725,6334,Basukedar,,00000,54,Rudraprayag,रूद्रप्रयाग,058,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41063,Luntara,,041063,6343,Ghaat,,00000,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50508,Lunthura,,050508,320,Pithoragarh,,00320,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
45489,Luthetha,,045489,306,Srinagar,,00306,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
54817,Lvechusani,,054817,340,Nainital,,00340,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
54831,Lvesaal,,054831,340,Nainital,,00340,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
53471,Lwali,,053471,332,Jainti,,00332,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
42191,Lwani,,042191,290,Ukhimath,,00290,54,Rudraprayag,रूद्रप्रयाग,058,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
43803,Lwarkha,,043803,6360,Kandisaur,,00000,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50026,"Lwechata Bhangra Khet",,050026,319,Gangolihat,,00319,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52912,Lweta,,052912,6338,Dhaulchhina,,00000,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50651,Lweta,,050651,6367,Shama,,00000,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47476,Lwetha,,047476,310,Lansdowne,,00310,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
53866,"Maadli Malli",,053866,334,Champawat,,00334,48,Champawat,"CHAMPAWAT                                         ",065,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50268,"Machhina Kholi",,050268,320,Pithoragarh,,00320,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52268,"Machhora Section",,052268,327,Sult,,00327,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
56940,Madabela,,056940,355,Laksar,,00355,50,Haridwar,"HARIDWAR                                          ",068,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55373,Madaiya,,055373,343,Ramnagar,,00343,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48308,Madanpur,,048308,313,Kotdwara,,00313,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55422,"Madanpur Bora",,055422,343,Ramnagar,,00343,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55426,"Madanpur Kurmi",,055426,343,Ramnagar,,00343,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55488,"Madan Vail",,055488,344,Kaladhungi,,00344,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49051,Madarma,,049051,6356,Bangapani,,00000,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50769,"Mad Gopeshwar",,050769,322,Kanda,,00322,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50030,"Madhye Purana Dak Bangla",,050030,319,Gangolihat,,00319,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
54354,Madlak,,054354,6349,"Pulla Gumdesh",,00000,48,Champawat,"CHAMPAWAT                                         ",065,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
56172,Magarsara,,056172,6364,Nanakmatta,,00000,56,"Udham Singh Nagar","UDHAM SINGH NAGAR",067,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47727,"Magol Gaon",,047727,311,Satpuli,,00311,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41515,Mahad,,041515,6333,Narayanbagar,,00000,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55477,Mahadeopur,,055477,344,Kaladhungi,,00344,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41153,Mahar,,041153,286,Pokhari,,00286,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
40968,Mahargaon,,040968,285,Chamoli,,00285,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47731,"Mahar Gaon",,047731,311,Satpuli,,00311,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48475,"Mahar Gaon",,048475,313,Kotdwara,,00313,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49195,Mahargari,,049195,317,Didihat,,00317,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48317,"Mahar Gaun",,048317,313,Kotdwara,,00313,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52384,"Mahariya Chamdoli",,052384,328,Ranikhet,,00328,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44832,Mahasasa,,044832,302,Kalsi,,00302,49,Dehradun,"DEHRADUN                                          ",060,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49303,"Mahat Gaon",,049303,317,Didihat,,00317,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
56389,Maheshri,,056389,6022,Bhagwanpur,,00000,50,Haridwar,"HARIDWAR                                          ",068,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51607,Mahgyari,,051607,6330,Syalde,,00000,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
56473,Mahmoodpur,,056473,353,Roorkee,,00353,50,Haridwar,"HARIDWAR                                          ",068,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55894,Maholichain,,055894,348,Bajpur,,00348,56,"Udham Singh Nagar","UDHAM SINGH NAGAR",067,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
54720,Mahrora,,054720,340,Nainital,,00340,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52956,Maichor,,052956,330,Almora,,00330,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
42805,Maid,,042805,293,Ghansali,,00293,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44243,Maid,,044243,298,Dhanaulti,,00298,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
53372,Maigari,,053372,331,Someshwar,,00331,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
43263,Maikhandi,,043263,6361,Kirtinagar,,00000,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41986,Maikholi,,041986,289,Gairsain,,00289,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46589,Maikholi,,046589,308,Thailisain,,00308,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52152,"Maina Kote",,052152,327,Sult,,00327,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
42830,Maindu,,042830,6374,Balganga,,00000,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
43631,"Mairaf Malla",,043631,296,"Jakhani Dhar",,00296,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52180,Maithani,,052180,327,Sult,,00327,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46507,Maithawa,,046507,6036,Chakisain,Chakisain,00000,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49653,Maitoli,,049653,318,Berinag,,00318,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50957,Majbe,,050957,323,Bageshwar,,00323,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46171,Majera,,046171,307,Pauri,,00307,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50697,Majgaon,,050697,322,Kanda,,00322,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46026,"Maj Gaon",,046026,307,Pauri,,00307,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48195,"Maj Gaon",,048195,312,"Chaubatta Khal",,00312,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
45072,Majhaun,,045072,303,"Vikas Nagar",,00303,49,Dehradun,"DEHRADUN                                          ",060,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50496,Majhera,,050496,320,Pithoragarh,,00320,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55500,Majhera,,055500,344,Kaladhungi,,00344,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49477,Majholi,,049477,317,Didihat,,00317,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49072,"Majia Ka Dana R.F.",,049072,315,Munsiari,,00315,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51205,Majigaon,,051205,6332,Kafligair,,00000,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50652,Majkhet,,050652,6367,Shama,,00000,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48988,Majkot,,048988,6357,Tejam,,00000,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47478,"Majola Chota",,047478,310,Lansdowne,,00310,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41003,Majothi,,041003,285,Chamoli,,00285,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
